"a, an","indefinite, article","а,",
program,"Noun, Verb",программа,She is enrolled in a computer programming course. They will program the robot to perform specific tasks.
programme,Noun,программа,What's on the television programme tonight?
progress,"Noun, Verb",прогресс,The construction project is making good progress. She is progressing well in her studies.
project,"Noun, Verb",проект,The team is working on a new project. She projected confidence during her presentation.
promise,"Verb, Noun",обещание,He promised to help her with the project. The politician made a promise to improve healthcare.
promote,Verb,содействовать,The company promotes a positive work environment.
pronounce,Verb,произносят,How do you pronounce her name?
proof,Noun,доказательство,He presented evidence as proof of his innocence.
proper,Adjective,правильный,It is important to use proper grammar in writing.
properly,Adverb,должным образом,The instructions were not properly followed.
property,Noun,свойство,She owns several properties in the city.
proposal,Noun,предложение,He made a proposal to improve the company's sales.
propose,Verb,предложить,He proposed to his girlfriend on Valentine's Day.
prospect,Noun,перспектива,The job offers good prospects for career growth.
protect,Verb,защищать,It is the government's duty to protect its citizens.
protection,Noun,защита,The security guard provides protection for the building.
protest,"Noun, Verb",акция протеста,The workers went on strike to protest against unfair working conditions.
proud,Adjective,гордый,She felt proud of her accomplishments.
prove,Verb,доказывать,He tried to prove his theory with scientific evidence.
provide,Verb,предоставлять,The company will provide training for new employees.
psychologist,Noun,психолог,She decided to see a psychologist to help with her anxiety.
psychology,Noun,психология,He studied psychology in college.
pub,Noun,паб,Let's meet at the pub for a drink.
public,"Adjective, Noun",общественности,She gave a public speech at the event. The public transportation system is efficient.
publication,Noun,публикация,Her research paper was accepted for publication.
publish,Verb,публиковать,The author published a new book.
pull,"Verb, Noun",вытащить,Can you help me pull this heavy box?
punish,Verb,наказать,The teacher punished the student for cheating.
punishment,Noun,наказание,The punishment for stealing is severe.
pupil,Noun,ученик,The pupils in her class are attentive.
purchase,"Noun, Verb",покупка,She made a purchase at the store. I need to purchase a new laptop.
pure,Adjective,чистый,The water in the lake is pure.
purple,"Adjective, Noun",пурпурный,She wore a purple dress to the party. The sky turned a beautiful shade of purple during sunset.
purpose,Noun,цель,The purpose of the meeting is to discuss the new project.
pursue,Verb,преследовать,She decided to pursue a career in medicine.
push,"Verb, Noun",От себя,Push the door to open it. He gave the swing a push.
put,Verb,ставить,Please put the books on the shelf.
qualification,Noun,квалификация,He has the necessary qualifications for the job.
qualified,Adjective,квалифицированный,She is a qualified accountant.
qualify,Verb,квалифицировать,"If you pass the exam, you will qualify for the scholarship."
quality,Noun,качественный,The quality of the product is excellent.
quantity,Noun,количество,They received a large quantity of supplies.
quarter,Noun,четверть,The game is in the fourth quarter.
queen,Noun,Королева,The queen waved to the crowd.
question,"Noun, Verb",вопрос,Do you have any questions? Please question the witness in court.
queue,"Noun, Verb",очередь,We waited in a long queue to buy tickets. She queued up to get into the concert.
quick,Adjective,быстрый,He is a quick learner.
quickly,Adverb,быстро,She quickly finished her homework.
quiet,Adjective,тихо,Please be quiet in the library.
quietly,Adverb,тихо,She entered the room quietly.
quit,Verb,уволиться,She decided to quit her job.
quite,Adverb,довольно,The movie was quite interesting.
quotation,Noun,цитата,He included a famous quotation in his speech.
quote,"Verb, Noun",котировка,She quoted a line from the poem. The stock quote is displayed on the screen.
race (competition),NounVerb,гонки (соревнования),The race started at 10 a.m.
race (people),Noun,расы (люди),Discrimination based on race is unacceptable.
racing,Noun,гоночный,He is a fan of racing.
radio,Noun,радио,She listens to the radio every morning.
railway,Noun,железная дорога,He took the train from the railway station.
rain,"Noun, Verb",дождь,We got caught in the rain. It's raining outside.
raise,Verb,повышение,She received a raise in her salary.
range,"Noun, Verb",ассортимент,The store offers a wide range of products. He ranged the books on the shelf in alphabetical order.
